"","Liver","Heart","Bladder","Colon","Testis","Stomach","microbiomes"
"Banchanvirus SS1201",0,0,0,0,0,0,"Banchanvirus SS1201"
"Bandicoot papillomatosis carcinomatosis virus type 1",0,0,0,0,0,0,"Bandicoot papillomatosis carcinomatosis virus type 1"
"Bandicoot papillomatosis carcinomatosis virus type 2",0,0,0,0,0,0,"Bandicoot papillomatosis carcinomatosis virus type 2"
"Banmivirus BanMMV",0,0,0,0,0,0,"Banmivirus BanMMV"
"Banna virus",0,0,0,0,0,0,"Banna virus"
"Bantamvirus bantam",0,0,0,0,0,0,"Bantamvirus bantam"
"Banzi virus",0,0,0,0,0,0,"Banzi virus"
"Baoshanvirus BS1",0,0,0,0,0,0,"Baoshanvirus BS1"
"Baoshanvirus BS2",0,0,0,0,0,0,"Baoshanvirus BS2"
"Barbacena virus Y",0,0,0,0,0,0,"Barbacena virus Y"
"Barbavirus barba18A",0,0,0,0,0,0,"Barbavirus barba18A"
"Barbavirus barba19A",0,0,0,0,0,0,"Barbavirus barba19A"
"Barbavirus barba21A",0,0,0,0,0,0,"Barbavirus barba21A"
"Barbavirus barba5S",0,0,0,0,0,0,"Barbavirus barba5S"
"Barbavirus barba8S",0,0,0,0,0,0,"Barbavirus barba8S"
"Barbel circovirus",0,0,0,0,0,0,"Barbel circovirus"
"Barfin flounder nervous necrosis virus",0,0,0,0,0,0,"Barfin flounder nervous necrosis virus"
"Barhavirus bahia",0,0,0,0,0,0,"Barhavirus bahia"
"Barhavirus muir",0,0,0,0,0,0,"Barhavirus muir"
"Barley mild mosaic virus",0,0,0,0,0,0,"Barley mild mosaic virus"
"Barley stripe mosaic virus",0,0,0,0,0,0,"Barley stripe mosaic virus"
"Barley virus G",0,0,0,0,0,0,"Barley virus G"
"Barley yellow dwarf virus GAV",0,0,0,0,0,0,"Barley yellow dwarf virus GAV"
"Barley yellow dwarf virus MAV",0,0,0,0,0,0,"Barley yellow dwarf virus MAV"
"Barley yellow dwarf virus PAS",0,0,0,0,0,0,"Barley yellow dwarf virus PAS"
"Barley yellow dwarf virus PAV",0,0,0,0,0,0,"Barley yellow dwarf virus PAV"
"Barley yellow dwarf virus kerII",0,0,0,0,0,0,"Barley yellow dwarf virus kerII"
"Barley yellow mosaic virus",0,0,0,0,0,0,"Barley yellow mosaic virus"
"Barmah Forest virus",0,0,0,0,0,0,"Barmah Forest virus"
"Barnesiella viscericola",0,0,0,0.000204843942917467,0,0,"Barnesiella viscericola"
"Barnyardvirus barnyard",0,0,0,0,0,0,"Barnyardvirus barnyard"
"Barnyardvirus drlupo",0,0,0,0,0,0,"Barnyardvirus drlupo"
"Bartonella alsatica",0,0,0,0,0,0,"Bartonella alsatica"
"Bartonella ancashensis",0,0,0,0,0,0,"Bartonella ancashensis"
"Bartonella australis",0,0,0,0,0,0,"Bartonella australis"
"Bartonella bacilliformis",0,0,0,0,0,0,"Bartonella bacilliformis"
"Bartonella clarridgeiae",0,0,0,0,0,0,"Bartonella clarridgeiae"
"Bartonella elizabethae",0,0,0,0,0,0,"Bartonella elizabethae"
"Bartonella grahamii",0,0,0,0,0,0,"Bartonella grahamii"
"Bartonella harrusi",0,0,0,5.00664792799928e-05,0,0,"Bartonella harrusi"
"Bartonella henselae",0,0,0,0,0,0,"Bartonella henselae"
"Bartonella kosoyi",0,0,0,0,0,0,"Bartonella kosoyi"
"Bartonella krasnovii",0,0,0,0,0,0,"Bartonella krasnovii"
"Bartonella machadoae",0,0,0,0,0,0,"Bartonella machadoae"
"Bartonella quintana",0,0,0,0,0,0,"Bartonella quintana"
"Bartonella taylorii",0,0,0,0,0,0,"Bartonella taylorii"
"Bartonella tribocorum",0,0,0,0,0,0,"Bartonella tribocorum"
"Bartonella vinsonii",0,0,0,0,0,0,"Bartonella vinsonii"
"Basavirus sp.",0,0,0,0,0,0,"Basavirus sp."
"Basella alba alphaendornavirus 1",0,0,0,0,0,0,"Basella alba alphaendornavirus 1"
"Basella rugose mosaic virus",0,0,0,0,0,0,"Basella rugose mosaic virus"
"Basfia succiniciproducens",0,0,0,0,0,0,"Basfia succiniciproducens"
"Basilea psittacipulmonis",0,0,0,1.95578691154012e-05,7.91661256597987e-06,0,"Basilea psittacipulmonis"
"Bastillevirus CAM003",0,0,0,0,0,0,"Bastillevirus CAM003"
"Bastillevirus bastille",0,0,0,0,0,0,"Bastillevirus bastille"
"Bastillevirus evoli",0,0,0,0,0,0,"Bastillevirus evoli"
"Bastillevirus hoodyT",0,0,0,0,0,0,"Bastillevirus hoodyT"
"Bastrovirus BAS-1",0,0,0,0,0,0,"Bastrovirus BAS-1"
"Bastrovirus BAS-2",0,0,0,0,0,0,"Bastrovirus BAS-2"
"Bastrovirus BAS-3",0,0,0,0,0,0,"Bastrovirus BAS-3"
"Bastrovirus-like_virus/VietNam/Bat/17819_21",0,0,0,0,0,0,"Bastrovirus-like_virus/VietNam/Bat/17819_21"
"Bastrovirus/VietNam/Porcine/17489_85",0,0,0,0,0,0,"Bastrovirus/VietNam/Porcine/17489_85"
"Bat Hp-betacoronavirus Zhejiang2013",0,0,0,0,0,0,"Bat Hp-betacoronavirus Zhejiang2013"
"Bat Middle East Hepe-Astrovirus",0,0,0,0,0,0,"Bat Middle East Hepe-Astrovirus"
"Bat associated circovirus 1",0,0,0,0,0,0,"Bat associated circovirus 1"
"Bat associated circovirus 11",0,0,0,0,0,0,"Bat associated circovirus 11"
"Bat associated circovirus 2",0,0,0,0,0,0,"Bat associated circovirus 2"
"Bat associated circovirus 3",0,0,0,0,0,0,"Bat associated circovirus 3"
"Bat associated circovirus 4",0,0,0,0,0,0,"Bat associated circovirus 4"
"Bat associated circovirus 5",0,0,0,0,0,0,"Bat associated circovirus 5"
"Bat associated circovirus 6",0,0,0,0,0,0,"Bat associated circovirus 6"
"Bat associated circovirus 7",0,0,0,0,0,0,"Bat associated circovirus 7"
"Bat associated circovirus 8",0,0,0,0,0,0,"Bat associated circovirus 8"
"Bat associated circovirus 9",0,0,0,0,0,0,"Bat associated circovirus 9"
"Bat associated cyclovirus 1",0,0,0,0,0,0,"Bat associated cyclovirus 1"
"Bat associated cyclovirus 10",0,0,0,0,0,0,"Bat associated cyclovirus 10"
"Bat associated cyclovirus 11",0,0,0,0,0,0,"Bat associated cyclovirus 11"
"Bat associated cyclovirus 12",0,0,0,0,0,0,"Bat associated cyclovirus 12"
"Bat associated cyclovirus 13",0,0,0,0,0,0,"Bat associated cyclovirus 13"
"Bat associated cyclovirus 14",0,0,0,0,0,0,"Bat associated cyclovirus 14"
"Bat associated cyclovirus 15",0,0,0,0,0,0,"Bat associated cyclovirus 15"
"Bat associated cyclovirus 16",0,0,0,0,0,0,"Bat associated cyclovirus 16"
"Bat associated cyclovirus 2",0,0,0,0,0,0,"Bat associated cyclovirus 2"
"Bat associated cyclovirus 3",0,0,0,0,0,0,"Bat associated cyclovirus 3"
"Bat associated cyclovirus 4",0,0,0,0,0,0,"Bat associated cyclovirus 4"
"Bat associated cyclovirus 5",0,0,0,0,0,0,"Bat associated cyclovirus 5"
"Bat associated cyclovirus 6",0,0,0,0,0,0,"Bat associated cyclovirus 6"
"Bat associated cyclovirus 7",0,0,0,0,0,0,"Bat associated cyclovirus 7"
"Bat associated cyclovirus 8",0,0,0,0,0,0,"Bat associated cyclovirus 8"
"Bat associated cyclovirus 9",0,0,0,0,0,0,"Bat associated cyclovirus 9"
"Bat badicivirus 1",0,0,0,0,0,0,"Bat badicivirus 1"
"Bat badicivirus 2",0,0,0,0,0,0,"Bat badicivirus 2"
"Bat bocavirus",0,0,0,0,0,0,"Bat bocavirus"
"Bat circovirus",0,0,0,0,0,0,"Bat circovirus"
"Bat coronavirus",0,0,0,0,0,0,"Bat coronavirus"
"Bat coronavirus BM48-31/BGR/2008",0,0,0,0,0,0,"Bat coronavirus BM48-31/BGR/2008"
"Bat coronavirus CDPHE15",0,0,0,0,0,0,"Bat coronavirus CDPHE15"
"Bat coronavirus HKU10",0,0,0,0,0,0,"Bat coronavirus HKU10"
"Bat dicibavirus",0,0,0,0,0,0,"Bat dicibavirus"
"Bat hepacivirus",0,0,0,0,0,0,"Bat hepacivirus"
"Bat iflavirus",0,0,0,0,0,0,"Bat iflavirus"
"Bat mastadenovirus A",0,0,0,0,0,0,"Bat mastadenovirus A"
"Bat mastadenovirus B",0,0,0,0,0,0,"Bat mastadenovirus B"
"Bat mastadenovirus C",0,0,0,0,0,0,"Bat mastadenovirus C"
"Bat mastadenovirus D",0,0,0,0,0,0,"Bat mastadenovirus D"
"Bat mastadenovirus F",0,0,0,0,0,0,"Bat mastadenovirus F"
"Bat mastadenovirus G",0,0,0,0,0,0,"Bat mastadenovirus G"
"Bat mumps orthorubulavirus",0,0,0,0,0,0,"Bat mumps orthorubulavirus"
"Bat picornavirus 1",0,0,0,0,0,0,"Bat picornavirus 1"
"Bat picornavirus 2",0,0,0,0,0,0,"Bat picornavirus 2"
"Bat picornavirus 3",0,0,0,0,0,0,"Bat picornavirus 3"
"Bat polyomavirus",0,0,0,0,0,0,"Bat polyomavirus"
"Bat polyomavirus 6d",0,0,0,0,0,0,"Bat polyomavirus 6d"
"Bat rotavirus",0,0,0,0,0,0,"Bat rotavirus"
"Bat sapelovirus",0,0,0,0,0,0,"Bat sapelovirus"
"Bat sapovirus",0,0,0,0,0,0,"Bat sapovirus"
"Bat sapovirus TLC58/HK",0,0,0,0,0,0,"Bat sapovirus TLC58/HK"
"Bat tymo-like virus",0,0,0,0,0,0,"Bat tymo-like virus"
"Batai orthobunyavirus",0,0,0,0,0,0,"Batai orthobunyavirus"
"Batfish actinovirus",0,0,0,0,0,0,"Batfish actinovirus"
"Bathycoccus sp. RCC1105 virus BpV",0,0,0,0,0,0,"Bathycoccus sp. RCC1105 virus BpV"
"Bathymodiolus septemdierum thioautotrophic gill symbiont",0,0,0,0,0,0,"Bathymodiolus septemdierum thioautotrophic gill symbiont"
"Bathymodiolus thermophilus thioautotrophic gill symbiont",0,0,0,0,0,0,"Bathymodiolus thermophilus thioautotrophic gill symbiont"
"Bavaria virus",0,0,0,0,0,0,"Bavaria virus"
"Baxtervirus baxterfox",0,0,0,0,0,0,"Baxtervirus baxterfox"
"Baxtervirus yeezy",0,0,0,0,0,0,"Baxtervirus yeezy"
"Baylorvirus PHL101",0,0,0,0,0,0,"Baylorvirus PHL101"
"Baylorvirus bv1127AP1",0,0,0,0,0,0,"Baylorvirus bv1127AP1"
"Bayou orthohantavirus",0,0,0,0,0,0,"Bayou orthohantavirus"
"Bcepfunavirus bcepF1",0,0,0,0,0,0,"Bcepfunavirus bcepF1"
"Bcepmuvirus E255",0,0,0,0,0,0,"Bcepmuvirus E255"
"Bcepmuvirus bcepMu",0,0,0,0,0,0,"Bcepmuvirus bcepMu"
"Bdellomicrovirus MH2K",0,0,0,0,0,0,"Bdellomicrovirus MH2K"
"Bdellovibrio bacteriovorus",0,0,0,7.18603896958842e-05,0,0,"Bdellovibrio bacteriovorus"
"Bdellovibrio phage phi1422",0,0,0,0,0,0,"Bdellovibrio phage phi1422"
"BeAn 58058 virus",0.00120133538018972,5.23110277477625e-05,0,0.000683446467543908,0.00047984250368331,0.000351897961478863,"BeAn 58058 virus"
"Beak and feather disease virus",0,0,0,0,0,0,"Beak and feather disease virus"
"Bean bushy stunt virus",0,0,0,0,0,0,"Bean bushy stunt virus"
"Bean calico mosaic virus",0,0,0,0,0,0,"Bean calico mosaic virus"
"Bean chlorosis virus",0,0,0,0,0,0,"Bean chlorosis virus"
"Bean chlorotic mosaic virus",0,0,0,0,0,0,"Bean chlorotic mosaic virus"
"Bean common mosaic necrosis virus",0,0,0,0,0,0,"Bean common mosaic necrosis virus"
"Bean common mosaic virus",0,0,0,0,0,0,"Bean common mosaic virus"
"Bean dwarf mosaic virus",0,0,0,0,0,0,"Bean dwarf mosaic virus"
"Bean golden mosaic virus",0,0,0,0,0,0,"Bean golden mosaic virus"
"Bean golden yellow mosaic virus",0,0,0,0,0,0,"Bean golden yellow mosaic virus"
"Bean latent virus",0,0,0,0,0,0,"Bean latent virus"
"Bean leaf crumple virus",0,0,0,0,0,0,"Bean leaf crumple virus"
"Bean leafroll virus",0,0,0,0,0,0,"Bean leafroll virus"
"Bean necrotic mosaic orthotospovirus",0,0,0,0,0,0,"Bean necrotic mosaic orthotospovirus"
"Bean pod mottle virus",0,0,0,0,0,0,"Bean pod mottle virus"
"Bean rugose mosaic virus",0,0,0,0,0,0,"Bean rugose mosaic virus"
"Bean white chlorosis mosaic virus",0,0,0,0,0,0,"Bean white chlorosis mosaic virus"
"Bean yellow disorder virus",0,0,0,0,0,0,"Bean yellow disorder virus"
"Bean yellow dwarf virus",0,0,0,0,0,0,"Bean yellow dwarf virus"
"Bean yellow mosaic Mexico virus",0,0,0,0,0,0,"Bean yellow mosaic Mexico virus"
"Bean yellow mosaic virus",0,0,0,0,0,0,"Bean yellow mosaic virus"
"Bear Canyon mammarenavirus",0,0,0,0,0,0,"Bear Canyon mammarenavirus"
"Beauveria bassiana RNA virus 1",0,0,0,0,0,0,"Beauveria bassiana RNA virus 1"
"Beauveria bassiana polymycovirus 1",0,0,0,0,0,0,"Beauveria bassiana polymycovirus 1"
"Beauveria bassiana victorivirus 1",0,0,0,0,0,0,"Beauveria bassiana victorivirus 1"
"Beauveria bassiana victorivirus NZL/1980",0,0,0,0,0,0,"Beauveria bassiana victorivirus NZL/1980"
"Bebaru virus",0,0,0,0,0,0,"Bebaru virus"
"Beceayunavirus BceA1",0,0,0,0,0,0,"Beceayunavirus BceA1"
"Becedseptimavirus BCD7",0,0,0,0,0,0,"Becedseptimavirus BCD7"
"Bee Macula-Like virus 2",0,0,0,0,0,0,"Bee Macula-Like virus 2"
"Bee Macula-like virus",0,0,0,0,0,0,"Bee Macula-like virus"
"Beecentumtrevirus B103",0,0,0,0,0,0,"Beecentumtrevirus B103"
"Beecentumtrevirus Goe1",0,0,0,0,0,0,"Beecentumtrevirus Goe1"
"Beecentumtrevirus Nf",0,0,0,0,0,0,"Beecentumtrevirus Nf"
"Beejeyvirus BJ1",0,0,0,0,0,0,"Beejeyvirus BJ1"
"Beet black scorch virus",0,0,0,0,0,0,"Beet black scorch virus"
"Beet black scorch virus satellite RNA",0,0,0,0,0,0,"Beet black scorch virus satellite RNA"
"Beet chlorosis virus",0,0,0,0,0,0,"Beet chlorosis virus"
"Beet cryptic virus 1",0,0,0,0,0,0,"Beet cryptic virus 1"
"Beet cryptic virus 2",0,0,0,0,0,0,"Beet cryptic virus 2"
"Beet curly top Iran virus",0,0,0,0,0,0,"Beet curly top Iran virus"
"Beet curly top virus",0,0,0,0,0,0,"Beet curly top virus"
"Beet mild yellowing virus",0,0,0,0,0,0,"Beet mild yellowing virus"
"Beet mosaic virus",0,0,0,0,0,0,"Beet mosaic virus"
"Beet necrotic yellow vein virus",0,0,0,0,0,0,"Beet necrotic yellow vein virus"
"Beet pseudoyellows virus",0,0,0,0,0,0,"Beet pseudoyellows virus"
"Beet ringspot virus",0,0,0,0,0,0,"Beet ringspot virus"
"Beet soil-borne mosaic virus",0,0,0,0,0,0,"Beet soil-borne mosaic virus"
"Beet soil-borne virus",0,0,0,0,0,0,"Beet soil-borne virus"
"Beet virus Q",0,0,0,0,0,0,"Beet virus Q"
"Beet western yellows ST9 associated virus",0,0,0,0,0,0,"Beet western yellows ST9 associated virus"
"Beet western yellows virus",0,0,0,0,0,0,"Beet western yellows virus"
"Beet yellows virus",0,0,0,0,0,0,"Beet yellows virus"
"Beetrevirus B3",0,0,0,0,0,0,"Beetrevirus B3"
"Beetrevirus PM105",0,0,0,0,0,0,"Beetrevirus PM105"
"Beggiatoa leptomitoformis",0,0,0,0,0,0,"Beggiatoa leptomitoformis"
"Begomovirus-associated DNA-II",0,0,0,0,0,0,"Begomovirus-associated DNA-II"
"Begomovirus-associated DNA-III",0,0,0,0,0,0,"Begomovirus-associated DNA-III"
"Begonia flower breaking virus",0,0,0,0,0,0,"Begonia flower breaking virus"
"Behunavirus BH1",0,0,0,0,0,0,"Behunavirus BH1"
"Beihai anemone virus 1",0,0,0,0,0,0,"Beihai anemone virus 1"
"Beihai astro-like virus",0,0,0,0,0,0,"Beihai astro-like virus"
"Beihai barnacle virus 10",0,0,0,0,0,0,"Beihai barnacle virus 10"
"Beihai barnacle virus 11",0,0,0,0,0,0,"Beihai barnacle virus 11"
"Beihai barnacle virus 12",0,0,0,0,0,0,"Beihai barnacle virus 12"
"Beihai barnacle virus 13",0,0,0,0,0,0,"Beihai barnacle virus 13"
"Beihai barnacle virus 15",0,0,0,0,0,0,"Beihai barnacle virus 15"
"Beihai barnacle virus 2",0,0,0,0,0,0,"Beihai barnacle virus 2"
"Beihai barnacle virus 3",0,0,0,0,0,0,"Beihai barnacle virus 3"
"Beihai barnacle virus 4",0,0,0,0,0,0,"Beihai barnacle virus 4"
"Beihai barnacle virus 7",0,0,0,0,0,0,"Beihai barnacle virus 7"
"Beihai barnacle viurs 1",0,0,0,0,0,0,"Beihai barnacle viurs 1"
"Beihai blue swimmer crab virus 1",0,0,0,0,0,0,"Beihai blue swimmer crab virus 1"
"Beihai blue swimmer crab virus 3",0,0,0,0,0,0,"Beihai blue swimmer crab virus 3"
"Beihai charybdis crab virus 1",0,0,0,0,0,0,"Beihai charybdis crab virus 1"
"Beihai echinoderm virus 1",0,0,0,0,0,0,"Beihai echinoderm virus 1"
"Beihai hepe-like virus 10",0,0,0,0,0,0,"Beihai hepe-like virus 10"
"Beihai hepe-like virus 4",0,0,0,0,0,0,"Beihai hepe-like virus 4"
"Beihai hepe-like virus 8",0,0,0,0,0,0,"Beihai hepe-like virus 8"
"Beihai hepe-like virus 9",0,0,0,0,0,0,"Beihai hepe-like virus 9"
"Beihai hermit crab virus 1",0,0,0,0,0,0,"Beihai hermit crab virus 1"
"Beihai horseshoe crab virus 1",0,0,0,0,0,0,"Beihai horseshoe crab virus 1"
"Beihai mantis shrimp virus 1",0,0,0,0,0,0,"Beihai mantis shrimp virus 1"
"Beihai mantis shrimp virus 2",0,0,0,0,0,0,"Beihai mantis shrimp virus 2"
"Beihai mantis shrimp virus 3",0,0,0,0,0,0,"Beihai mantis shrimp virus 3"
"Beihai mantis shrimp virus 4",0,0,0,0,0,0,"Beihai mantis shrimp virus 4"
"Beihai mantis shrimp virus 5",0,0,0,0,0,0,"Beihai mantis shrimp virus 5"
"Beihai mantis shrimp virus 6",0,0,0,0,0,0,"Beihai mantis shrimp virus 6"
"Beihai mollusks virus 1",0,0,0,0,0,0,"Beihai mollusks virus 1"
"Beihai mollusks virus 2",0,0,0,0,0,0,"Beihai mollusks virus 2"
"Beihai narna-like virus 1",0,0,0,0,0,0,"Beihai narna-like virus 1"
"Beihai narna-like virus 10",0,0,0,0,0,0,"Beihai narna-like virus 10"
"Beihai narna-like virus 11",0,0,0,0,0,0,"Beihai narna-like virus 11"
"Beihai narna-like virus 12",0,0,0,0,0,0,"Beihai narna-like virus 12"
"Beihai narna-like virus 13",0,0,0,0,0,0,"Beihai narna-like virus 13"
"Beihai narna-like virus 14",0,0,0,0,0,0,"Beihai narna-like virus 14"
"Beihai narna-like virus 15",0,0,0,0,0,0,"Beihai narna-like virus 15"
"Beihai narna-like virus 16",0,0,0,0,0,0,"Beihai narna-like virus 16"
"Beihai narna-like virus 17",0,0,0,0,0,0,"Beihai narna-like virus 17"
"Beihai narna-like virus 18",0,0,0,0,0,0,"Beihai narna-like virus 18"
"Beihai narna-like virus 19",0,0,0,0,0,0,"Beihai narna-like virus 19"
"Beihai narna-like virus 2",0,0,0,0,0,0,"Beihai narna-like virus 2"
"Beihai narna-like virus 20",0,0,0,0,0,0,"Beihai narna-like virus 20"
"Beihai narna-like virus 21",0,0,0,0,0,0,"Beihai narna-like virus 21"
"Beihai narna-like virus 22",0,0,0,0,0,0,"Beihai narna-like virus 22"
"Beihai narna-like virus 23",0,0,0,0,0,0,"Beihai narna-like virus 23"
"Beihai narna-like virus 24",0,0,0,0,0,0,"Beihai narna-like virus 24"
"Beihai narna-like virus 26",0,0,0,0,0,0,"Beihai narna-like virus 26"
"Beihai narna-like virus 3",0,0,0,0,0,0,"Beihai narna-like virus 3"
"Beihai narna-like virus 4",0,0,0,0,0,0,"Beihai narna-like virus 4"
"Beihai narna-like virus 6",0,0,0,0,0,0,"Beihai narna-like virus 6"
"Beihai narna-like virus 8",0,0,0,0,0,0,"Beihai narna-like virus 8"
"Beihai narna-like virus 9",0,0,0,0,0,0,"Beihai narna-like virus 9"
"Beihai noda-like virus 11",0,0,0,0,0,0,"Beihai noda-like virus 11"
"Beihai noda-like virus 18",0,0,0,0,0,0,"Beihai noda-like virus 18"
"Beihai noda-like virus 29",0,0,0,0,0,0,"Beihai noda-like virus 29"
"Beihai noda-like virus 5",0,0,0,0,0,0,"Beihai noda-like virus 5"
"Beihai octopus virus 1",0,0,0,0,0,0,"Beihai octopus virus 1"
"Beihai octopus virus 2",0,0,0,0,0,0,"Beihai octopus virus 2"
"Beihai paphia shell virus 1",0,0,0,0,0,0,"Beihai paphia shell virus 1"
"Beihai paphia shell virus 2",0,0,0,0,0,0,"Beihai paphia shell virus 2"
"Beihai paphia shell virus 3",0,0,0,0,0,0,"Beihai paphia shell virus 3"
"Beihai paphia shell virus 4",0,0,0,0,0,0,"Beihai paphia shell virus 4"
"Beihai partiti-like virus 2",0,0,0,0,0,0,"Beihai partiti-like virus 2"
"Beihai permutotetra-like virus 2",0,0,0,0,0,0,"Beihai permutotetra-like virus 2"
"Beihai picobirna-like virus 7",0,0,0,0,0,0,"Beihai picobirna-like virus 7"
"Beihai picobirna-like virus 8",0,0,0,0,0,0,"Beihai picobirna-like virus 8"
"Beihai picorna-like virus 1",0,0,0,0,0,0,"Beihai picorna-like virus 1"
"Beihai picorna-like virus 100",0,0,0,0,0,0,"Beihai picorna-like virus 100"
"Beihai picorna-like virus 101",0,0,0,0,0,0,"Beihai picorna-like virus 101"
"Beihai picorna-like virus 102",0,0,0,0,0,0,"Beihai picorna-like virus 102"
"Beihai picorna-like virus 103",0,0,0,0,0,0,"Beihai picorna-like virus 103"
"Beihai picorna-like virus 104",0,0,0,0,0,0,"Beihai picorna-like virus 104"
"Beihai picorna-like virus 105",0,0,0,0,0,0,"Beihai picorna-like virus 105"
"Beihai picorna-like virus 106",0,0,0,0,0,0,"Beihai picorna-like virus 106"
"Beihai picorna-like virus 107",0,0,0,0,0,0,"Beihai picorna-like virus 107"
"Beihai picorna-like virus 108",0,0,0,0,0,0,"Beihai picorna-like virus 108"
"Beihai picorna-like virus 11",0,0,0,0,0,0,"Beihai picorna-like virus 11"
"Beihai picorna-like virus 110",0,0,0,0,0,0,"Beihai picorna-like virus 110"
"Beihai picorna-like virus 111",0,0,0,0,0,0,"Beihai picorna-like virus 111"
"Beihai picorna-like virus 112",0,0,0,0,0,0,"Beihai picorna-like virus 112"
"Beihai picorna-like virus 113",0,0,0,0,0,0,"Beihai picorna-like virus 113"
"Beihai picorna-like virus 114",0,0,0,0,0,0,"Beihai picorna-like virus 114"
"Beihai picorna-like virus 115",0,0,0,0,0,0,"Beihai picorna-like virus 115"
"Beihai picorna-like virus 116",0,0,0,0,0,0,"Beihai picorna-like virus 116"
"Beihai picorna-like virus 117",0,0,0,0,0,0,"Beihai picorna-like virus 117"
"Beihai picorna-like virus 118",0,0,0,0,0,0,"Beihai picorna-like virus 118"
"Beihai picorna-like virus 119",0,0,0,0,0,0,"Beihai picorna-like virus 119"
"Beihai picorna-like virus 120",0,0,0,0,0,0,"Beihai picorna-like virus 120"
"Beihai picorna-like virus 121",0,0,0,0,0,0,"Beihai picorna-like virus 121"
"Beihai picorna-like virus 122",0,0,0,0,0,0,"Beihai picorna-like virus 122"
"Beihai picorna-like virus 123",0,0,0,0,0,0,"Beihai picorna-like virus 123"
"Beihai picorna-like virus 124",0,0,0,0,0,0,"Beihai picorna-like virus 124"
"Beihai picorna-like virus 125",0,0,0,0,0,0,"Beihai picorna-like virus 125"
"Beihai picorna-like virus 14",0,0,0,0,0,0,"Beihai picorna-like virus 14"
"Beihai picorna-like virus 15",0,0,0,0,0,0,"Beihai picorna-like virus 15"
"Beihai picorna-like virus 16",0,0,0,0,0,0,"Beihai picorna-like virus 16"
"Beihai picorna-like virus 17",0,0,0,0,0,0,"Beihai picorna-like virus 17"
"Beihai picorna-like virus 18",0,0,0,0,0,0,"Beihai picorna-like virus 18"
"Beihai picorna-like virus 19",0,0,0,0,0,0,"Beihai picorna-like virus 19"
"Beihai picorna-like virus 2",0,0,0,0,0,0,"Beihai picorna-like virus 2"
"Beihai picorna-like virus 20",0,0,0,0,0,0,"Beihai picorna-like virus 20"
"Beihai picorna-like virus 21",0,0,0,0,0,0,"Beihai picorna-like virus 21"
"Beihai picorna-like virus 23",0,0,0,0,0,0,"Beihai picorna-like virus 23"
"Beihai picorna-like virus 24",0,0,0,0,0,0,"Beihai picorna-like virus 24"
"Beihai picorna-like virus 26",0,0,0,0,0,0,"Beihai picorna-like virus 26"
"Beihai picorna-like virus 27",0,0,0,0,0,0,"Beihai picorna-like virus 27"
"Beihai picorna-like virus 28",0,0,0,0,0,0,"Beihai picorna-like virus 28"
"Beihai picorna-like virus 30",0,0,0,0,0,0,"Beihai picorna-like virus 30"
"Beihai picorna-like virus 32",0,0,0,0,0,0,"Beihai picorna-like virus 32"
"Beihai picorna-like virus 33",0,0,0,0,0,0,"Beihai picorna-like virus 33"
"Beihai picorna-like virus 35",0,0,0,0,0,0,"Beihai picorna-like virus 35"
"Beihai picorna-like virus 39",0,0,0,0,0,0,"Beihai picorna-like virus 39"
"Beihai picorna-like virus 4",0,0,0,0,0,0,"Beihai picorna-like virus 4"
"Beihai picorna-like virus 40",0,0,0,0,0,0,"Beihai picorna-like virus 40"
"Beihai picorna-like virus 41",0,0,0,0,0,0,"Beihai picorna-like virus 41"
"Beihai picorna-like virus 42",0,0,0,0,0,0,"Beihai picorna-like virus 42"
"Beihai picorna-like virus 43",0,0,0,0,0,0,"Beihai picorna-like virus 43"
"Beihai picorna-like virus 44",0,0,0,0,0,0,"Beihai picorna-like virus 44"
"Beihai picorna-like virus 45",0,0,0,0,0,0,"Beihai picorna-like virus 45"
"Beihai picorna-like virus 46",0,0,0,0,0,0,"Beihai picorna-like virus 46"
"Beihai picorna-like virus 47",0,0,0,0,0,0,"Beihai picorna-like virus 47"
"Beihai picorna-like virus 48",0,0,0,0,0,0,"Beihai picorna-like virus 48"
"Beihai picorna-like virus 49",0,0,0,0,0,0,"Beihai picorna-like virus 49"
"Beihai picorna-like virus 5",0,0,0,0,0,0,"Beihai picorna-like virus 5"
"Beihai picorna-like virus 50",0,0,0,0,0,0,"Beihai picorna-like virus 50"
"Beihai picorna-like virus 51",0,0,0,0,0,0,"Beihai picorna-like virus 51"
"Beihai picorna-like virus 52",0,0,0,0,0,0,"Beihai picorna-like virus 52"
"Beihai picorna-like virus 53",0,0,0,0,0,0,"Beihai picorna-like virus 53"
"Beihai picorna-like virus 54",0,0,0,0,0,0,"Beihai picorna-like virus 54"
"Beihai picorna-like virus 55",0,0,0,0,0,0,"Beihai picorna-like virus 55"
"Beihai picorna-like virus 56",0,0,0,0,0,0,"Beihai picorna-like virus 56"
"Beihai picorna-like virus 57",0,0,0,0,0,0,"Beihai picorna-like virus 57"
"Beihai picorna-like virus 58",0,0,0,0,0,0,"Beihai picorna-like virus 58"
"Beihai picorna-like virus 59",0,0,0,0,0,0,"Beihai picorna-like virus 59"
"Beihai picorna-like virus 6",0,0,0,0,0,0,"Beihai picorna-like virus 6"
"Beihai picorna-like virus 60",0,0,0,0,0,0,"Beihai picorna-like virus 60"
"Beihai picorna-like virus 61",0,0,0,0,0,0,"Beihai picorna-like virus 61"
