Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_individual (exp),Experimental_Factor:_organism_part (exp),External_Id,Individual,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,specimen_with_known_storage_state,SRA Study,Submitter_Id
ERR315344,RNA-Seq,202,1885619096,PRJEB4337,SAMEA2152474,ArrayExpress,857576945,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,fastq,sra,realign,run.realign.summary,run.zq","s3,ena,gs,ncbi","s3.us-east-1,ena,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288571,V151,small intestine,SAMEA2152474,V151,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V151,PAIRED,cDNA,TRANSCRIPTOMIC,small intestine,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:34:00Z,2,SAMEA2152474,E-MTAB-1733:smallintestine_4a,frozen specimen,ERP003613,E-MTAB-1733:smallintestine_4a
ERR315350,RNA-Seq,202,1794135922,PRJEB4337,SAMEA2149178,ArrayExpress,812925522,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,sra,realign,run.realign.summary,run.zq,geo.fc","s3,ncbi,gs,ena","s3.us-east-1,ena,ncbi.public,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288563,V134,testis,SAMEA2149178,V134,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:42Z,public,Illumina HiSeq 2000,V134,PAIRED,cDNA,TRANSCRIPTOMIC,testis,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:35:00Z,2,SAMEA2149178,E-MTAB-1733:testis_4a,frozen specimen,ERP003613,E-MTAB-1733:testis_4a
ERR315351,RNA-Seq,202,1779307708,PRJEB4337,SAMEA2149178,ArrayExpress,799787012,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,realign,sra,run.zq,run.realign.summary,fastq","ncbi,gs,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288501,V134,testis,SAMEA2149178,V134,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:42Z,public,Illumina HiSeq 2000,V134,PAIRED,cDNA,TRANSCRIPTOMIC,testis,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:35:00Z,2,SAMEA2149178,E-MTAB-1733:testis_4a,frozen specimen,ERP003613,E-MTAB-1733:testis_4a
ERR315352,RNA-Seq,202,7255015638,PRJEB4337,SAMEA2158188,ArrayExpress,3178122760,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,fastq,run.zq,run.realign.summary,sra,geo.fc","ena,ncbi,s3,gs","ena,gs.US,s3.us-east-1,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288512,V255,testis,SAMEA2158188,V255,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V255,PAIRED,cDNA,TRANSCRIPTOMIC,testis,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:51:00Z,2,SAMEA2158188,E-MTAB-1733:testis_7a,frozen specimen,ERP003613,E-MTAB-1733:testis_7a
ERR315353,RNA-Seq,202,2742352606,PRJEB4337,SAMEA2147920,ArrayExpress,1297410639,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,sra,geo.fc,run.realign.summary,run.zq,realign","ncbi,ena,s3,gs","gs.US,ncbi.public,s3.us-east-1,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288496,V133,lung,SAMEA2147920,V133,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:41Z,public,Illumina HiSeq 2000,V133,PAIRED,cDNA,TRANSCRIPTOMIC,lung,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:41:00Z,2,SAMEA2147920,E-MTAB-1733:lung_4d,frozen specimen,ERP003613,E-MTAB-1733:lung_4d
ERR315354,RNA-Seq,202,1785906240,PRJEB4337,SAMEA2159368,ArrayExpress,841454626,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,fastq,geo.fc,run.zq,realign,run.realign.summary","ncbi,gs,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288635,V129,prostate,SAMEA2159368,V129,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V129,PAIRED,cDNA,TRANSCRIPTOMIC,prostate,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:36:00Z,2,SAMEA2159368,E-MTAB-1733:prostate_4c,frozen specimen,ERP003613,E-MTAB-1733:prostate_4c
ERR315355,RNA-Seq,202,3219843034,PRJEB4337,SAMEA2161920,ArrayExpress,1357820053,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,geo.fc,run.realign.summary,realign,run.zq,sra","gs,ena,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288630,V176,bladder,SAMEA2161920,V176,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:19Z,public,Illumina HiSeq 2000,V176,PAIRED,cDNA,TRANSCRIPTOMIC,bladder,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:41:00Z,2,SAMEA2161920,E-MTAB-1733:urinarybladder_5b,frozen specimen,ERP003613,E-MTAB-1733:urinarybladder_5b
ERR315356,RNA-Seq,202,3581972070,PRJEB4337,SAMEA2155550,ArrayExpress,1539275633,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,fastq,geo.fc,sra,run.zq,realign","ena,ncbi,s3,gs","ena,ncbi.public,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288578,V235,heart,SAMEA2155550,V235,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V235,PAIRED,cDNA,TRANSCRIPTOMIC,heart,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:45:00Z,2,SAMEA2155550,E-MTAB-1733:heart_6a,frozen specimen,ERP003613,E-MTAB-1733:heart_6a
ERR315359,RNA-Seq,202,2199585676,PRJEB4337,SAMEA2155984,ArrayExpress,1003517023,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,sra,fastq,geo.fc,run.zq,run.realign.summary","gs,ncbi,ena,s3","gs.US,ncbi.public,ena,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288524,V127,prostate,SAMEA2155984,V127,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V127,PAIRED,cDNA,TRANSCRIPTOMIC,prostate,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:36:00Z,2,SAMEA2155984,E-MTAB-1733:prostate_4a,frozen specimen,ERP003613,E-MTAB-1733:prostate_4a
ERR315360,RNA-Seq,202,2690792510,PRJEB4337,SAMEA2146982,ArrayExpress,1112325600,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,run.realign.summary,realign,fastq,geo.fc,run.zq","ena,ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288525,V186,gall bladder,SAMEA2146982,V186,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V186,PAIRED,cDNA,TRANSCRIPTOMIC,gall bladder,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:41:00Z,2,SAMEA2146982,E-MTAB-1733:gallbladder_5c,frozen specimen,ERP003613,E-MTAB-1733:gallbladder_5c
ERR315361,RNA-Seq,202,1492548306,PRJEB4337,SAMEA2156099,ArrayExpress,623390976,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,geo.fc,realign,sra,run.realign.summary,fastq","s3,ncbi,ena,gs","ena,gs.US,s3.us-east-1,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288594,V200,endometrium,SAMEA2156099,V200,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:42Z,public,Illumina HiSeq 2000,V200,PAIRED,cDNA,TRANSCRIPTOMIC,endometrium,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:34:00Z,2,SAMEA2156099,E-MTAB-1733:endometrium_5a,frozen specimen,ERP003613,E-MTAB-1733:endometrium_5a
ERR315362,RNA-Seq,202,3152994366,PRJEB4337,SAMEA2147975,ArrayExpress,1354333139,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,realign,geo.fc,run.zq,fastq,run.realign.summary","ena,gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288521,V184,esophagus,SAMEA2147975,V184,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V184,PAIRED,cDNA,TRANSCRIPTOMIC,esophagus,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:41:00Z,2,SAMEA2147975,E-MTAB-1733:esophagus_5b,frozen specimen,ERP003613,E-MTAB-1733:esophagus_5b
ERR315373,RNA-Seq,202,2268457778,PRJEB4337,SAMEA2149876,ArrayExpress,1016492079,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,geo.fc,run.realign.summary,run.zq,fastq,sra","gs,ena,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288478,V157,lymph node,SAMEA2149876,V157,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:29Z,public,Illumina HiSeq 2000,V157,PAIRED,cDNA,TRANSCRIPTOMIC,lymph node,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:35:00Z,2,SAMEA2149876,E-MTAB-1733:lymphnode_4a,frozen specimen,ERP003613,E-MTAB-1733:lymphnode_4a
ERR315378,RNA-Seq,202,1981788872,PRJEB4337,SAMEA2153980,ArrayExpress,1524167749,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,sra,run.realign.summary,fastq,geo.fc,realign","ena,s3,gs,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288497,V2,adipose tissue,SAMEA2153980,V2,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:41Z,public,Illumina HiSeq 2000,V2,PAIRED,cDNA,TRANSCRIPTOMIC,adipose tissue,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:36:00Z,2,SAMEA2153980,E-MTAB-1733:fat_x1,frozen specimen,ERP003613,E-MTAB-1733:fat_x1
ERR315379,RNA-Seq,202,4567375944,PRJEB4337,SAMEA2142586,ArrayExpress,2066244075,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,geo.fc,run.realign.summary,fastq,run.zq,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288605,V90,stomach,SAMEA2142586,V90,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:21Z,public,Illumina HiSeq 2000,V90,PAIRED,cDNA,TRANSCRIPTOMIC,stomach,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2142586,E-MTAB-1733:stomach_3a,frozen specimen,ERP003613,E-MTAB-1733:stomach_3a
ERR315402,RNA-Seq,202,3184454654,PRJEB4337,SAMEA2155371,ArrayExpress,1350021086,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,sra,geo.fc,realign,run.realign.summary,fastq","s3,gs,ena,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288488,V234,animal ovary,SAMEA2155371,V234,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V234,PAIRED,cDNA,TRANSCRIPTOMIC,animal ovary,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:43:00Z,2,SAMEA2155371,E-MTAB-1733:ovary_6b,frozen specimen,ERP003613,E-MTAB-1733:ovary_6b
ERR315403,RNA-Seq,202,1552429186,PRJEB4337,SAMEA1968540,ArrayExpress,1185476054,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,sra,run.realign.summary,fastq,run.zq,realign","s3,ena,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288553,V11,colon,SAMEA1968540,V11,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:55Z,public,Illumina HiSeq 2000,V11,PAIRED,cDNA,TRANSCRIPTOMIC,colon,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:39:00Z,2,SAMEA1968540,E-MTAB-1733:colon_b,frozen specimen,ERP003613,E-MTAB-1733:colon_b
ERR315404,RNA-Seq,202,3479103166,PRJEB4337,SAMEA2154529,ArrayExpress,1505276011,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,fastq,run.zq,sra,run.realign.summary,geo.fc","ncbi,ena,s3,gs","ncbi.public,s3.us-east-1,gs.US,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288600,V249,bone marrow,SAMEA2154529,V249,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:19Z,public,Illumina HiSeq 2000,V249,PAIRED,cDNA,TRANSCRIPTOMIC,bone marrow,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2154529,E-MTAB-1733:bonemarrow_6b,frozen specimen,ERP003613,E-MTAB-1733:bonemarrow_6b
ERR315405,RNA-Seq,202,2458516750,PRJEB4337,SAMEA2155751,ArrayExpress,1146904091,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,geo.fc,run.zq,fastq,realign,run.realign.summary","s3,ena,ncbi,gs","gs.US,s3.us-east-1,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288616,V83,spleen,SAMEA2155751,V83,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V83,PAIRED,cDNA,TRANSCRIPTOMIC,spleen,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:43:00Z,2,SAMEA2155751,E-MTAB-1733:spleen_3b,frozen specimen,ERP003613,E-MTAB-1733:spleen_3b
ERR315408,RNA-Seq,202,2161241632,PRJEB4337,SAMEA2153932,ArrayExpress,983038813,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,geo.fc,fastq,realign,run.zq,sra","gs,ncbi,ena,s3","gs.US,ena,s3.us-east-1,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288523,V152,small intestine,SAMEA2153932,V152,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V152,PAIRED,cDNA,TRANSCRIPTOMIC,small intestine,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2153932,E-MTAB-1733:smallintestine_4b,frozen specimen,ERP003613,E-MTAB-1733:smallintestine_4b
ERR315409,RNA-Seq,202,1978546974,PRJEB4337,SAMEA2161836,ArrayExpress,899501795,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,realign,run.zq,run.realign.summary,fastq,sra","s3,gs,ena,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288487,V156,small intestine,SAMEA2161836,V156,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V156,PAIRED,cDNA,TRANSCRIPTOMIC,small intestine,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:39:00Z,2,SAMEA2161836,E-MTAB-1733:smallintestine_4d,frozen specimen,ERP003613,E-MTAB-1733:smallintestine_4d
ERR315410,RNA-Seq,202,3401090362,PRJEB4337,SAMEA2162946,ArrayExpress,2529961674,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,sra,realign,run.zq,run.realign.summary,fastq","s3,ena,ncbi,gs","s3.us-east-1,gs.US,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288513,V12,prostate,SAMEA2162946,V12,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V12,PAIRED,cDNA,TRANSCRIPTOMIC,prostate,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:42:00Z,2,SAMEA2162946,E-MTAB-1733:prostate_a,frozen specimen,ERP003613,E-MTAB-1733:prostate_a
ERR315411,RNA-Seq,202,3197254586,PRJEB4337,SAMEA2147975,ArrayExpress,1372588052,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,realign,run.realign.summary,geo.fc,fastq,sra","ncbi,s3,gs,ena","ena,gs.US,ncbi.public,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288566,V184,esophagus,SAMEA2147975,V184,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V184,PAIRED,cDNA,TRANSCRIPTOMIC,esophagus,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:42:00Z,2,SAMEA2147975,E-MTAB-1733:esophagus_5b,frozen specimen,ERP003613,E-MTAB-1733:esophagus_5b
ERR315412,RNA-Seq,202,4518055220,PRJEB4337,SAMEA2159931,ArrayExpress,1860428473,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,run.realign.summary,fastq,geo.fc,realign,run.zq","s3,ncbi,gs,ena","gs.US,ena,ncbi.public,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288602,V197,thyroid,SAMEA2159931,V197,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:21Z,public,Illumina HiSeq 2000,V197,PAIRED,cDNA,TRANSCRIPTOMIC,thyroid,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:50:00Z,2,SAMEA2159931,E-MTAB-1733:thyroid_5b,frozen specimen,ERP003613,E-MTAB-1733:thyroid_5b
ERR315413,RNA-Seq,202,3352583900,PRJEB4337,SAMEA2151741,ArrayExpress,1376078189,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,realign,run.zq,fastq,geo.fc,sra","gs,ena,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288585,V195,heart,SAMEA2151741,V195,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V195,PAIRED,cDNA,TRANSCRIPTOMIC,heart,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:46:00Z,2,SAMEA2151741,E-MTAB-1733:heart_5b,frozen specimen,ERP003613,E-MTAB-1733:heart_5b
ERR315426,RNA-Seq,202,2339276756,PRJEB4337,SAMEA2155628,ArrayExpress,990598928,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"sra,realign,run.realign.summary,fastq,geo.fc,run.zq","ncbi,ena,s3,gs","gs.US,s3.us-east-1,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288483,V192,lymph node,SAMEA2155628,V192,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V192,PAIRED,cDNA,TRANSCRIPTOMIC,lymph node,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:39:00Z,2,SAMEA2155628,E-MTAB-1733:lymphnode_5b,frozen specimen,ERP003613,E-MTAB-1733:lymphnode_5b
ERR315427,RNA-Seq,202,2668877934,PRJEB4337,SAMEA2146982,ArrayExpress,1099032129,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,fastq,sra,geo.fc,run.realign.summary,run.zq","s3,ncbi,ena,gs","s3.us-east-1,gs.US,ena,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288482,V186,gall bladder,SAMEA2146982,V186,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V186,PAIRED,cDNA,TRANSCRIPTOMIC,gall bladder,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2146982,E-MTAB-1733:gallbladder_5c,frozen specimen,ERP003613,E-MTAB-1733:gallbladder_5c
ERR315428,RNA-Seq,202,2389754738,PRJEB4337,SAMEA2144120,ArrayExpress,990486941,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.realign.summary,fastq,geo.fc,sra,run.zq","ncbi,ena,gs,s3","gs.US,s3.us-east-1,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288515,V198,thyroid,SAMEA2144120,V198,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V198,PAIRED,cDNA,TRANSCRIPTOMIC,thyroid,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2144120,E-MTAB-1733:thyroid_5c,frozen specimen,ERP003613,E-MTAB-1733:thyroid_5c
ERR315429,RNA-Seq,202,2456527252,PRJEB4337,SAMEA2153347,ArrayExpress,1057574568,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,realign,run.zq,sra,fastq,run.realign.summary","s3,ncbi,ena,gs","gs.US,ncbi.public,ena,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288604,V232,pancreas,SAMEA2153347,V232,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:21Z,public,Illumina HiSeq 2000,V232,PAIRED,cDNA,TRANSCRIPTOMIC,pancreas,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:41:00Z,2,SAMEA2153347,E-MTAB-1733:pancreas_6b,frozen specimen,ERP003613,E-MTAB-1733:pancreas_6b
ERR315430,RNA-Seq,202,3511036740,PRJEB4337,SAMEA2155550,ArrayExpress,1496664957,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,sra,run.zq,realign,geo.fc,fastq","s3,ena,ncbi,gs","ena,s3.us-east-1,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288579,V235,heart,SAMEA2155550,V235,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V235,PAIRED,cDNA,TRANSCRIPTOMIC,heart,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:44:00Z,2,SAMEA2155550,E-MTAB-1733:heart_6a,frozen specimen,ERP003613,E-MTAB-1733:heart_6a
